mentor_id,name,clat_year,clat_rank,clat_score,college,specialization,teaching_style,mentorship_experience_months,legal_reasoning_expertise,logical_reasoning_expertise,english_expertise,current_affairs_expertise,quantitative_expertise
MNT001,Mentor 1,2024,117,100,NALSAR Hyderabad,English Language Expert,Reading/Writing,16,5,6,10,7,8
MNT002,Mentor 2,2024,26,132,NLU Delhi,English Language Expert,Reading/Writing,7,7,5,10,6,8
MNT003,Mentor 3,2023,51,123,NLIU Bhopal,Logical Reasoning Expert,Visual,40,8,10,6,5,6
MNT004,Mentor 4,2021,138,93,NLU Delhi,English Language Expert,Auditory,15,7,8,10,6,6
MNT005,Mentor 5,2022,90,107,NLU Delhi,Current Affairs Expert,Reading/Writing,46,5,5,7,9,6
MNT006,Mentor 6,2022,192,74,NLSIU Bangalore,Legal Reasoning Expert,Reading/Writing,34,8,7,7,8,8
MNT007,Mentor 7,2022,18,133,NLIU Bhopal,Current Affairs Expert,Visual,30,8,5,6,9,5
MNT008,Mentor 8,2022,200,72,NLU Delhi,All-rounder,Kinesthetic,17,8,7,9,8,8
MNT009,Mentor 9,2024,2,139,NALSAR Hyderabad,Quantitative Expert,Mixed,17,7,5,6,8,8
MNT010,Mentor 10,2021,125,96,NLSIU Bangalore,English Language Expert,Mixed,40,6,5,10,8,6
MNT011,Mentor 11,2024,92,110,NUJS Kolkata,All-rounder,Auditory,41,7,7,8,8,9
MNT012,Mentor 12,2020,134,93,NLU Delhi,English Language Expert,Auditory,40,7,5,8,8,6
MNT013,Mentor 13,2021,141,94,NLIU Bhopal,All-rounder,Reading/Writing,42,9,7,9,8,9
MNT014,Mentor 14,2024,126,98,NLIU Bhopal,All-rounder,Visual,21,8,7,9,9,7
MNT015,Mentor 15,2021,115,99,NUJS Kolkata,Quantitative Expert,Visual,7,7,5,6,5,9
MNT016,Mentor 16,2024,60,121,NLU Delhi,Quantitative Expert,Visual,31,7,8,7,7,9
MNT017,Mentor 17,2021,140,94,NLU Delhi,All-rounder,Visual,12,8,9,9,8,9
MNT018,Mentor 18,2024,16,135,NLSIU Bangalore,Legal Reasoning Expert,Reading/Writing,29,8,8,7,5,8
MNT019,Mentor 19,2022,149,88,NLIU Bhopal,Current Affairs Expert,Visual,18,7,6,6,8,8
MNT020,Mentor 20,2021,139,92,NLSIU Bangalore,Quantitative Expert,Visual,8,5,5,8,8,10
